DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2020,39.835,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2021,36.562,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2022,39.294,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bosnia and Herzegovina,2023,40.011,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Belgium,2014,8.038,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Belgium,2015,8.06,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Belgium,2016,8.744,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Belgium,2017,9.136,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Belgium,2018,9.472,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Belgium,2019,9.929,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Belgium,2020,13,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Belgium,2021,13.076,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Belgium,2022,13.816,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Belgium,2023,14.741,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bulgaria,2014,18.05,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bulgaria,2015,18.261,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bulgaria,2016,18.76,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bulgaria,2017,18.695,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bulgaria,2018,20.581,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bulgaria,2019,21.545,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bulgaria,2020,23.319,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bulgaria,2021,19.445,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bulgaria,2022,19.044,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Bulgaria,2023,22.549,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Cyprus,2014,9.144,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Cyprus,2015,9.903,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Cyprus,2016,9.833,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Cyprus,2017,10.478,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Cyprus,2018,13.873,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Cyprus,2019,13.777,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Cyprus,2020,16.879,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Cyprus,2021,19.069,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Cyprus,2022,19.427,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Cyprus,2023,20.213,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Czechia,2014,15.074,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Czechia,2015,15.07,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Czechia,2016,14.926,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Czechia,2017,14.799,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Czechia,2018,15.139,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Czechia,2019,16.239,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Czechia,2020,17.303,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Czechia,2021,17.614,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Czechia,2022,18.123,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Czechia,2023,18.586,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Germany,2014,14.381,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Germany,2015,14.901,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Germany,2016,14.885,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Germany,2017,15.472,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Germany,2018,16.66,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Germany,2019,17.266,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Germany,2020,19.09,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Germany,2021,19.300,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Germany,2022,20.814,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Germany,2023,21.562,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Denmark,2014,29.31,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Denmark,2015,30.469,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Denmark,2016,31.715,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Denmark,2017,34.387,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Denmark,2018,35.159,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Denmark,2019,37.02,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Denmark,2020,31.681,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Denmark,2021,41.813,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Denmark,2022,42.383,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Denmark,2023,44.396,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (from 2023),2021,20.656,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (from 2023),2022,21.804,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Euro area – 20 countries (from 2023),2023,23.400,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Estonia,2014,26.13,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Estonia,2015,28.987,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Estonia,2016,29.232,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Estonia,2017,29.538,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Estonia,2018,29.97,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Estonia,2019,31.73,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Estonia,2020,30.069,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Estonia,2021,37.342,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Estonia,2022,38.542,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Estonia,2023,40.950,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Greece,2014,15.683,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Greece,2015,15.69,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Greece,2016,15.39,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Greece,2017,17.3,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Greece,2018,18.001,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Greece,2019,19.633,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Greece,2020,21.749,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Greece,2021,22.001,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Greece,2022,22.671,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Greece,2023,25.269,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Spain,2014,15.879,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Spain,2015,16.221,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Spain,2016,17.015,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Spain,2017,17.118,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Spain,2018,17.023,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Spain,2019,17.852,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Spain,2020,21.22,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Spain,2021,20.55,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Spain,2022,21.896,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Spain,2023,24.852,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2014,17.416,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2015,17.82,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2016,17.978,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2017,18.411,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2018,19.096,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2019,19.887,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2020,22.038,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2021,21.894,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2022,23.058,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,European Union - 27 countries (from 2020),2023,24.555,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Finland,2014,38.633,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Finland,2015,39.23,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Finland,2016,38.943,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Finland,2017,40.857,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Finland,2018,41.185,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Finland,2019,42.807,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Finland,2020,43.939,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Finland,2021,42.819,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Finland,2022,47.740,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Finland,2023,50.750,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,France,2014,14.362,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,France,2015,14.803,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,France,2016,15.451,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,France,2017,15.847,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,France,2018,16.384,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,France,2019,17.174,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,France,2020,19.109,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,France,2021,19.316,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,France,2022,20.445,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,France,2023,22.283,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Georgia,2021,18.292,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Georgia,2022,18.141,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Georgia,2023,19.850,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Croatia,2014,27.817,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Croatia,2015,28.969,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Croatia,2016,28.266,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Croatia,2017,27.28,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Croatia,2018,28.047,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Croatia,2019,28.466,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Croatia,2020,31.023,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Croatia,2021,31.285,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Croatia,2022,28.088,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Croatia,2023,28.051,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Hungary,2014,14.618,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Hungary,2015,14.495,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Hungary,2016,14.377,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Hungary,2017,13.556,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Hungary,2018,12.548,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Hungary,2019,12.634,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Hungary,2020,13.85,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Hungary,2021,14.134,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Hungary,2022,15.128,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Hungary,2023,17.117,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Ireland,2014,8.516,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Ireland,2015,9.083,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Ireland,2016,9.189,,
ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),19/09/24 23:00:00,Annual,Renewable energy - overall,Percentage,Ireland,2017,10.52,,
