freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,LAST UPDATE
Annual,Renewable energy - overall,Percentage,Belgium,2015,8.06,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Belgium,2016,8.744,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Belgium,2017,9.136,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Belgium,2018,9.472,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Belgium,2019,9.929,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Belgium,2020,13.0,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Belgium,2021,13.076,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Belgium,2022,13.816,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Belgium,2023,14.741,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bulgaria,2014,18.05,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bulgaria,2015,18.261,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bulgaria,2016,18.76,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bulgaria,2017,18.695,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bulgaria,2018,20.581,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bulgaria,2019,21.545,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bulgaria,2020,23.319,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bulgaria,2021,19.445,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bulgaria,2022,19.044,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Bulgaria,2023,22.549,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Cyprus,2014,9.144,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Cyprus,2015,9.903,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Cyprus,2016,9.833,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Cyprus,2017,10.478,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Cyprus,2018,13.873,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Cyprus,2019,13.777,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Cyprus,2020,16.879,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Cyprus,2021,19.069,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Cyprus,2022,19.427,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Cyprus,2023,20.213,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Czechia,2014,15.074,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Czechia,2015,15.07,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Czechia,2016,14.926,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Czechia,2017,14.799,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Czechia,2018,15.139,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Czechia,2019,16.239,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Czechia,2020,17.303,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Czechia,2021,17.614,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Czechia,2022,18.123,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Czechia,2023,18.586,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Germany,2014,14.381,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Germany,2015,14.901,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Germany,2016,14.885,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Germany,2017,15.472,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Germany,2018,16.66,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Germany,2019,17.266,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Germany,2020,19.09,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Germany,2021,19.3,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Germany,2022,20.814,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Germany,2023,21.562,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Denmark,2014,29.31,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Denmark,2015,30.469,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Denmark,2016,31.715,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Denmark,2017,34.387,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Denmark,2018,35.159,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Denmark,2019,37.02,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Denmark,2020,31.681,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Denmark,2021,41.813,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Denmark,2022,42.383,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Denmark,2023,44.396,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Estonia,2014,26.13,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Estonia,2015,28.987,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Estonia,2016,29.232,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Estonia,2017,29.538,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Estonia,2018,29.97,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Estonia,2019,31.73,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Estonia,2020,30.069,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Estonia,2021,37.342,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Estonia,2022,38.542,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Estonia,2023,40.95,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Greece,2014,15.683,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Greece,2015,15.69,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Greece,2016,15.39,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Greece,2017,17.3,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Greece,2018,18.001,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Greece,2019,19.633,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Greece,2020,21.749,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Greece,2021,22.001,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Greece,2022,22.671,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Greece,2023,25.269,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Spain,2014,15.879,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Spain,2015,16.221,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Spain,2016,17.015,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Spain,2017,17.118,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Spain,2018,17.023,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Spain,2019,17.852,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Spain,2020,21.22,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Spain,2021,20.55,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Spain,2022,21.896,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Spain,2023,24.852,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Finland,2014,38.633,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Finland,2015,39.23,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Finland,2016,38.943,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Finland,2017,40.857,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Finland,2018,41.185,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Finland,2019,42.807,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Finland,2020,43.939,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Finland,2021,42.819,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Finland,2022,47.74,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Finland,2023,50.75,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,France,2014,14.362,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,France,2015,14.803,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,France,2016,15.451,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,France,2017,15.847,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,France,2018,16.384,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,France,2019,17.174,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,France,2020,19.109,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,France,2021,19.316,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,France,2022,20.445,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,France,2023,22.283,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Georgia,2021,18.292,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Georgia,2022,18.141,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Georgia,2023,19.85,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Croatia,2014,27.817,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Croatia,2015,28.969,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Croatia,2016,28.266,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Croatia,2017,27.28,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Croatia,2018,28.047,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Croatia,2019,28.466,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Croatia,2020,31.023,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Croatia,2021,31.285,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Croatia,2022,28.088,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Croatia,2023,28.051,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Hungary,2014,14.618,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Hungary,2015,14.495,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Hungary,2016,14.377,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Hungary,2017,13.556,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Hungary,2018,12.548,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Hungary,2019,12.634,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Hungary,2020,13.85,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Hungary,2021,14.134,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Hungary,2022,15.128,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Hungary,2023,17.117,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Ireland,2014,8.516,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Ireland,2015,9.083,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Ireland,2016,9.189,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Ireland,2017,10.52,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Ireland,2018,10.942,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Ireland,2019,11.979,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Ireland,2020,16.16,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Ireland,2021,12.996,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Ireland,2022,13.068,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Ireland,2023,15.253,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Iceland,2014,73.043,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Iceland,2015,71.949,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Iceland,2016,75.329,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Iceland,2017,74.104,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Iceland,2018,77.173,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Iceland,2019,78.612,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Iceland,2020,83.725,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Iceland,2021,79.618,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Iceland,2022,78.602,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Iceland,2023,80.856,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Italy,2014,17.082,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Italy,2015,17.525,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Italy,2016,17.415,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Italy,2017,18.267,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Italy,2018,17.796,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Italy,2019,18.181,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Italy,2020,20.359,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Italy,2021,18.883,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Italy,2022,19.131,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Italy,2023,19.594,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Lithuania,2014,23.592,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Lithuania,2015,25.748,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Lithuania,2016,25.612,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Lithuania,2017,26.038,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Lithuania,2018,24.695,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Lithuania,2019,25.474,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Lithuania,2020,26.773,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Lithuania,2021,28.166,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Lithuania,2022,29.599,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Lithuania,2023,31.926,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Luxembourg,2014,4.471,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Luxembourg,2015,4.987,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Luxembourg,2016,5.364,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Luxembourg,2017,6.194,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Luxembourg,2018,8.942,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Luxembourg,2019,7.046,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Luxembourg,2020,11.699,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Luxembourg,2021,11.726,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Luxembourg,2022,14.262,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Luxembourg,2023,14.355,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Latvia,2014,38.629,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Latvia,2015,37.538,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Latvia,2016,37.138,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Latvia,2017,39.008,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Latvia,2018,40.019,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Latvia,2019,40.929,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Latvia,2020,42.132,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Latvia,2021,42.096,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Latvia,2022,43.72,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Latvia,2023,43.223,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Moldova,2014,26.169,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Moldova,2015,26.173,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Moldova,2016,26.888,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Moldova,2017,27.836,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Moldova,2018,27.476,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Moldova,2019,23.843,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Moldova,2020,25.057,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Moldova,2021,22.203,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Moldova,2022,21.538,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Moldova,2023,22.995,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Montenegro,2014,44.098,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Montenegro,2015,43.073,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Montenegro,2016,41.529,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Montenegro,2017,39.693,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Montenegro,2018,38.801,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Montenegro,2019,37.722,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Montenegro,2020,43.77,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Montenegro,2021,39.891,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Montenegro,2022,41.064,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Montenegro,2023,40.883,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,North Macedonia,2014,19.559,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,North Macedonia,2015,19.526,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,North Macedonia,2016,18.044,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,North Macedonia,2017,19.636,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,North Macedonia,2018,18.179,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,North Macedonia,2019,17.485,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,North Macedonia,2020,19.222,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,North Macedonia,2021,17.8,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,North Macedonia,2022,19.213,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,North Macedonia,2023,20.214,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Malta,2014,4.744,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Malta,2015,5.119,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Malta,2016,6.208,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Malta,2017,7.219,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Malta,2018,7.914,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Malta,2019,8.23,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Malta,2020,10.714,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Malta,2021,12.631,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Malta,2022,13.969,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Malta,2023,15.077,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Netherlands,2014,5.415,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Netherlands,2015,5.714,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Netherlands,2016,5.846,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Netherlands,2017,6.507,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Netherlands,2018,7.394,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Netherlands,2019,8.886,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Netherlands,2020,13.999,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Netherlands,2021,13.116,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Netherlands,2022,15.134,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Netherlands,2023,17.42,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Norway,2014,68.406,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Norway,2015,68.545,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Norway,2016,69.235,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Norway,2017,70.036,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Norway,2018,71.566,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Norway,2019,74.406,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Norway,2020,77.358,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Norway,2021,74.026,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Norway,2022,75.875,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Norway,2023,75.613,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Poland,2014,11.605,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Poland,2015,11.881,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Poland,2016,11.396,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Poland,2017,11.059,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Poland,2018,14.936,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Poland,2019,15.377,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Poland,2020,16.102,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Poland,2021,15.604,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Poland,2022,16.629,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Poland,2023,16.564,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Portugal,2014,29.508,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Portugal,2015,30.514,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Portugal,2016,30.864,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Portugal,2017,30.611,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Portugal,2018,30.203,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Portugal,2019,30.623,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Portugal,2020,33.982,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Portugal,2021,33.982,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Portugal,2022,34.675,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Portugal,2023,35.163,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Romania,2014,24.845,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Romania,2015,24.785,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Romania,2016,25.032,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Romania,2017,24.454,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Romania,2018,23.875,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Romania,2019,24.29,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Romania,2020,24.478,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Romania,2021,23.871,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Romania,2022,24.229,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Romania,2023,25.782,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Serbia,2014,22.864,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Serbia,2015,21.989,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Serbia,2016,21.147,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Serbia,2017,20.287,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Serbia,2018,20.32,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Serbia,2019,21.443,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Serbia,2020,26.297,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Serbia,2021,25.255,19/09/24 23:00:00
Annual,Renewable energy - overall,Percentage,Serbia,2022,24.67,19/09/24 23:00:00
